r,g,b,color
116,201,0,green
64,161,0,green
0,170,94,green
0,231,119,green
0,73,49,green
235,44,0,red
24,231,0,green
37,0,138,blue
88,0,182,purple
0,0,113,blue
191,0,38,red
0,122,190,blue
159,0,177,purple
254,0,204,pink
140,0,134,purple
200,0,77,pink
224,9,0,red
228,149,0,orange
40,38,0,brown
75,0,56,purple
0,39,114,blue
25,127,0,green
211,0,115,pink
140,0,93,purple
43,37,0,brown
37,0,92,purple
128,172,0,green
63,0,223,blue
65,205,0,green
90,0,220,purple
137,0,152,purple
0,45,156,blue
189,0,228,purple
6,0,95,blue
0,56,139,blue
84,0,142,purple
204,0,136,pink
0,39,219,blue
36,0,123,blue
245,0,144,pink
0,128,166,blue
247,0,155,pink
216,245,0,yellow
7,0,192,blue
114,10,0,red
0,60,242,blue
78,0,135,purple
101,24,0,brown
186,0,94,pink
0,52,68,blue
51,0,83,purple
0,188,211,blue
142,0,23,red
55,229,0,green
41,165,0,green
196,0,40,red
158,0,12,red
179,0,104,pink
103,209,0,green
17,0,16,black
50,0,135,blue
174,0,144,purple
0,14,238,blue
108,0,242,purple
0,29,245,blue
0,39,183,blue
181,0,229,purple
199,252,0,yellow
71,46,0,brown
0,54,143,blue
255,0,227,pink
11,253,0,green
0,190,18,green
246,93,0,orange
28,205,0,green
53,82,0,green
93,0,220,purple
153,0,211,purple
72,24,0,brown
0,86,255,blue
0,72,197,blue
226,128,0,orange
0,240,14,green
58,0,214,blue
0,231,93,green
31,155,0,green
11,0,20,black
35,239,0,green
85,15,0,brown
146,229,0,green
0,52,179,blue
0,241,119,green
59,0,229,blue
114,207,0,green
214,209,0,yellow
0,18,226,blue
0,72,45,green
0,74,142,blue
141,220,0,green
170,0,57,red
195,0,236,purple
31,97,0,green
131,4,0,red
0,248,88,green
148,0,175,purple
141,0,106,purple
85,146,0,green
223,0,166,pink
0,51,204,blue
28,0,189,blue
0,12,172,blue
0,116,30,green
217,0,249,pink
60,253,0,green
0,94,199,blue
159,94,0,brown
238,144,0,orange
74,0,75,purple
142,90,0,brown
0,169,94,green
122,101,0,brown
0,91,192,blue
216,110,0,orange
0,78,12,green
0,239,102,green
0,151,27,green
0,34,69,blue
18,146,0,green
177,41,0,red
180,0,102,pink
170,0,14,red
0,84,48,green
201,0,160,pink
124,0,85,purple
0,63,184,blue
159,204,0,green
205,0,185,pink
0,123,29,green
75,0,51,purple
0,81,6,green
152,0,208,purple
198,0,38,red
123,0,109,purple
0,145,92,green
175,61,0,orange
49,196,0,green
106,173,0,green
166,0,128,purple
30,0,156,blue
0,11,137,blue
0,237,144,green
192,102,0,orange
143,0,158,purple
158,0,137,purple
166,53,0,orange
0,214,51,green
226,0,172,pink
175,0,25,red
132,52,0,brown
200,0,42,red
98,173,0,green
177,0,89,pink
195,106,0,orange
238,0,147,pink
34,214,0,green
222,4,0,red
25,158,0,green
87,0,176,purple
168,2,0,red
176,74,0,orange
63,0,237,blue
41,0,147,blue
0,99,241,blue
0,0,252,blue
155,0,142,purple
129,0,30,red
0,144,179,blue
0,212,22,green
114,187,0,green
